"relationship_id","relationship_name","is_hierarchical","defines_ancestry","reverse_relationship_id","relationship_concept_id"
Answer of (PPI),Answer of (PPI),"0","0",Has answer (PPI),32443
Has answer (PPI),Has answer (PPI),"0","0",Answer of (PPI),32444
Has subject matter,Has subject matter domain (LOINC),"0","0",Subject matter of,32454
Subject matter of,Subject matter domain of (LOINC),"0","0",Has subject matter,32455
Has type of service,Has type of service (LOINC),"0","0",Type of service of,32456
Type of service of,Type of service of (LOINC),"0","0",Has type of service,32457
Has role,Has role (LOINC),"0","0",Role of,32458
Role of,Role of (LOINC),"0","0",Has role,32459
Has kind,Has kind (LOINC),"0","0",Kind of,32460
Kind of,Kind of (LOINC),"0","0",Has kind,32461
Has setting,Has setting (LOINC),"0","0",Setting of,32462
Setting of,Setting of (LOINC),"0","0",Has setting,32463
Has PPI parent code,Has PPI parent code,"0","0",PPI parent code of,32469
PPI parent code of,PPI parent code of,"0","0",Has PPI parent code,32470
Version contains,OMOP CDM Version contains table/field (OMOP),"1","0",Contained in version,32520
Contained in version,Table/field contained in OMOP CDM Version (OMOP),"1","1",Version contains,32521
Plays role,Plays role,"0","0",Role played by,32539
Role played by,Role played by,"0","0",Plays role,32540
Has physiol state,Has physiologic state (SNOMED Vet),"0","0",Physiol state of,32551
Physiol state of,Physiologic state of (SNOMED Vet),"0","0",Has physiol state,32552
Has sub-specimen,Includes sub-specimen (SNOMED Vet),"1","1",Sub-specimen of,32553
Sub-specimen of,Sub-specimen of (SNOMED Vet),"1","0",Has sub-specimen,32554
Has life circumstan,Has life circumstance (SNOMED Vet),"0","0",Life circumstan of,32555
Life circumstan of,Life circumstance (SNOMED Vet),"0","0",Has life circumstan,32556
Has vaccine group,Has vaccine group (CVX),"0","0",Vaccine group of,32609
Vaccine group of,Vaccine group of (CVX),"0","0",Has vaccine group,32610
Has antineopl Rx,Has antineoplastic - RxNorm (HemOnc),"1","0",Rx antineopl of,32614
Rx antineopl of,RxNorm antineoplastic of (HemOnc),"1","1",Has antineopl Rx,32615
Has antineoplastic,Has antineoplastic (HemOnc),"0","0",Antineoplastic of,32616
Antineoplastic of,Antineoplastic of (HemOnc),"0","0",Has antineoplastic,32617
Has context,Has context (HemOnc),"0","0",Context of,32618
Context of,Context of (HemOnc),"0","0",Has context,32619
Has immunosuppr Rx,Has immunosuppressor - RxNorm (HemOnc),"1","0",Rx immunosuppr of,32620
Rx immunosuppr of,RxNorm immunosuppressor of (HemOnc),"1","1",Has immunosuppr Rx,32621
Has immunosuppressor,Has immunosuppressor (HemOnc),"0","0",Immunosuppressor of,32622
Immunosuppressor of,Immunosuppressor of (HemOnc),"0","0",Has immunosuppressor,32623
Has local therap Rx,Has local therapy - RxNorm (HemOnc),"1","0",Rx local therapy of,32624
Rx local therapy of,RxNorm local therapy of (HemOnc),"1","1",Has local therap Rx,32625
Has local therapy,Has local therapy (HemOnc),"0","0",Local therapy of,32626
Local therapy of,Local therapy of (HemOnc),"0","0",Has local therapy,32627
Has regimen type,Has regimen type (HemOnc),"1","0",Regimen type of,32628
Regimen type of,Regimen type of (HemOnc),"1","1",Has regimen type,32629
Has supportive med,Has supportive medication (HemOnc),"0","0",Supportive med of,32632
Supportive med of,Supportive medication of (HemOnc),"0","0",Has supportive med,32633
May have route,May have route (HemOnc),"0","0",May be route of,32634
May be route of,May be route of (HemOnc),"0","0",May have route,32635
Has permiss range,Has permissible range,"0","0",Permiss range of,32664
CPT4 - CVX eq,CPT4 to CVX equivalent (CVX),"0","0",CVX - CPT4 eq,32611
CVX - CPT4 eq,CVX to CPT4 equivalent (CVX),"0","0",CPT4 - CVX eq,32612
Proc Schema to ICDO,Procedure Schema to ICDO Condition (NAACCR),"0","0",ICDO to Proc Schema,32643
ICDO to Proc Schema,ICDO Condition to Procedure Schema (NAACCR),"0","0",Proc Schema to ICDO,32644
Schema to ICDO,Schema to ICDO Condition (NAACCR),"0","0",ICDO to Schema,32645
ICDO to Schema,ICDO Condition to Schema (NAACCR),"0","0",Schema to ICDO,32646
Schema to Value,Schema to Value (NAACCR),"0","0",Value to Schema,32647
Value to Schema,Value to Schema (NAACCR),"0","0",Schema to Value,32648
Schema to Variable,Schema to Variable (NAACCR),"0","0",Variable to Schema,32649
Variable to Schema,Variable to Schema (NAACCR),"0","0",Schema to Variable,32650
Has parent item,Has parent item (NAACCR),"0","0",Parent item of,32656
Parent item of,Parent item of (NAACCR),"0","0",Has parent item,32657
Variable has date,Variable has date (NAACCR),"0","0",Date of variable,32658
Date of variable,Date of variable (NAACCR),"0","0",Variable has date,32659
Permiss range of,Permissible range of,"0","0",Has permiss range,32665
Has unit,Has unit,"0","0",Unit of,32670
Unit of,Unit of,"0","0",Has unit,32671
Has type,Has type,"0","0",Type of,32672
Type of,Type of,"0","0",Has type,32673
Has CD category,Has controlled drug category (DM+D),"0","0",CD category of,32679
CD category of,Controlled drug cathehory of (DM+D),"0","0",Has CD category,32680
Has ontological form,Has ontological dose form presentation (DM+D),"0","0",Ontological form of,32681
Ontological form of,Ontological dose form presentation of (DM+D),"0","0",Has ontological form,32682
Has combi prod ind,Has combination product indicator (DM+D),"0","0",Combi prod ind of,32683
Rx support med of,RxNorm Supportive medication of (HemOnc),"0","0",Has support med Rx,32631
Combi prod ind of,Combination product indicator of (DM+D),"0","0",Has combi prod ind,32684
Has form continuity,Has dose form continuity indicator (DM+D),"0","0",Form continuity of,32685
Form continuity of,Dose form continuity indicator (DM+D),"0","0",Has form continuity,32686
Has modality,Has modality (HemOnc),"1","0",Modality of,32691
Modality of,Modality of (Hemonc),"1","1",Has modality,32692
Has method,Has method,"0","0",Method of,44818751
Method of,Method of,"0","0",Has method,44818849
Has time aspect,Has time aspect,"0","0",Time aspect of,44818774
Time aspect of,Time aspect of,"0","0",Has time aspect,44818872
Has component,Has component,"0","0",Component of,44818767
Has end date,Has end date,"0","0",End date of,32711
End date of,End date of,"0","0",Has end date,32712
Has start date,Has start date,"0","0",Start date of,32713
Start date of,Start date of,"0","0",Has start date,32714
Has system,Has system,"0","0",System of,32715
System of,System of,"0","0",Has system,32716
Has add monitor ind,Has NHS dm+d (dictionary of medicines and devices) additional monitoring indicator,"0","0",Add monitor ind of,32747
Add monitor ind of,NHS dm+d (dictionary of medicines and devices) additional monitoring indicator of,"0","0",Has add monitor ind,32748
Has AMP restr ind,Has NHS dm+d (dictionary of medicines and devices) AMP (actual medicinal product) availability restriction indicator,"0","0",AMP restr ind of,32749
AMP restr ind of,NHS dm+d (dictionary of medicines and devices) AMP (actual medicinal product) availability restriction indicator of,"0","0",Has AMP restr ind,32750
Paral imprt ind,Has NHS dm+d parallel import indicator,"0","0",Paral imprt of,32751
Paral imprt of,NHS dm+d parallel import indicator of,"0","0",Paral imprt ind,32752
Has free indicator,Has NHS dm+d freeness indicator,"0","0",Free indicator of,32753
Free indicator of,NHS dm+d freenes indicator of,"0","0",Has free indicator,32754
Has proc duration,Process duration,"0","0",Proc duration of,32755
Proc duration of,Process duration of,"0","0",Has proc duration,32756
CAP value of,CAP value of,"0","0",Has CAP value,32776
Has CAP value,Has CAP value,"0","0",CAP value of,32777
Has CAP parent item,Has CAP parent item,"0","0",CAP parent item of,32778
CAP parent item of,CAP parent item of,"0","0",Has CAP parent item,32779
Has CAP protocol,Has CAP protocol,"0","0",CAP protocol of,32780
CAP protocol of,CAP protocol of,"0","0",Has CAP protocol,32781
CAP-Nebraska cat,CAP to Nebraska Lexicon category,"0","0",Nebraska-CAP cat,32782
Nebraska-CAP cat,Nebraska Lexicon to CAP category,"0","0",CAP-Nebraska cat,32783
CAP-Nebraska eq,CAP to Nebraska Lexicon equivalent,"0","0",Nebraska-CAP eq,32784
Nebraska-CAP eq,Nebraska Lexicon to CAP equivalent,"0","0",CAP-Nebraska eq,32785
Has accepted use,Has accepted use (HemOnc),"0","0",Accepted use of,32786
Accepted use of,Accepted use of (HemOnc),"0","0",Has accepted use,32787
Has FDA indication,Has FDA indication (HemOnc),"0","0",FDA indication of,32788
FDA indication of,FDA indication of (HemOnc),"0","0",Has FDA indication,32789
Is current in,Is currently used in (HemOnc),"0","0",Current treated by,32790
Current treated by,Currently treated by (HemOnc),"0","0",Is current in,32791
Is historical in,Is historically used in (HemOnc),"0","0",Historic treated by,32792
Historic treated by,Historically treated by (HemOnc),"0","0",Is historical in,32793
ATC - RxNorm pr lat,ATC to RxNorm/Extension primary lateral (OMOP),"0","0",RxNorm - ATC pr lat,32795
RxNorm - ATC pr lat,RxNorm/Extension to ATC pr lateral (OMOP),"0","0",ATC - RxNorm pr lat,32796
ATC - RxNorm sec lat,ATC to RxNorm/Extension secondary lateral (OMOP),"0","0",RxNorm - ATC sec lat,32797
RxNorm - ATC sec lat,RxNorm/Extension to ATC secondary lateral (OMOP),"0","0",ATC - RxNorm sec lat,32798
ATC - RxNorm pr up,ATC to RxNorm/Extension primary upwards (OMOP),"0","0",RxNorm - ATC pr up,32799
RxNorm - ATC pr up,RxNorm/Extension to ATC primary upwards (OMOP),"0","0",ATC - RxNorm pr up,32800
ATC - RxNorm sec up,ATC to RxNorm/Extension secondary upwards (OMOP),"0","0",RxNorm - ATC sec up,32801
RxNorm - ATC sec up,RxNorm/Extension to ATC secondary upwards (OMOP),"0","0",ATC - RxNorm sec up,32802
Has question source,Has question source,"0","0",Question source of,32803
Question source of,Question source of,"0","0",Has question source,32804
Has Value,Has Value,"0","0",Value of,32972
Value of,Value of,"0","0",Has Value,32973
Category in Chapter,Category in Chapter,"0","0",Chapter has Category,32952
Chapter has Category,Chapter has Category,"0","0",Category in Chapter,32953
Chapter to ICDO,Chapter to ICDO,"0","0",ICDO to Chapter,32954
ICDO to Chapter,ICDO to Chapter,"0","0",Chapter to ICDO,32955
Has precoord pair,Has precoordinated (Question-Answer/Variable-Value) pair,"0","0",Precoord pair of,32970
Precoord pair of,Precoordinated (Question-Answer/Variable-Value) pair of,"0","0",Has precoord pair,32971
Has Category,Has Category,"0","0",Category of,32974
Category of,Category of,"1","1",Has Category,32975
Has biosimilar,Has biosimilar,"0","0",Biosimilar of,32977
Biosimilar of,Biosimilar of,"0","0",Has biosimilar,32978
Relative to,Relative to (SNOMED),"0","0",Relative to of,32979
Relative to of,Relative to of (SNOMED),"0","0",Relative to,32980
Has count of act ing,Count of active ingredients (SNOMED),"0","0",Count of act ing in,32981
Count of act ing in,Is count of active ingredients in (SNOMED),"0","0",Has count of act ing,32982
Has prod character,Has product characteristic (SNOMED),"0","0",Prod character of,32983
Prod character of,Product characteristic of (SNOMED),"0","0",Has prod character,32984
Has surface char,Has surface characteristic (SNOMED),"0","0",Surf character of,32985
Surf character of,Surface characteristic of (SNOMED),"0","0",Has surface char,32986
Has dev intend site,Has device intended site (SNOMED),"0","0",Dev intended site of,32987
Dev intended site of,Device intended site of (SNOMED),"0","0",Has dev intend site,32988
Has comp material,Has compositional material (SNOMED),"0","0",Comp material of,32989
Comp material of,Compositional material of (SNOMED),"0","0",Has comp material,32990
Has filling,Has filling (SNOMED),"0","0",Filling of,32991
Filling of,Filling material of (SNOMED),"0","0",Has filling,32992
Has variant,Reference to variant,"0","0",Variant of,32997
Variant of,Variant refer to concept,"0","0",Has variant,32998
Transcribes to,Genomic DNA transcribes to mRNA,"1","1",Is transcribed from,32919
Translates to,mRNA Translates to protein,"1","1",Is translated from,32921
Is transcribed from,mRNA is transcribed from genomic DNA,"0","0",Transcribes to,32920
Is translated from,Protein is translated from mRNA,"0","0",Translates to,32922
OncoTree to ICDO eq,OncoTree to ICDO equivalent,"0","0",ICDO to OncoTree eq,33009
ICDO to OncoTree eq,ICDO to OncoTree equivalent,"0","0",OncoTree to ICDO eq,33010
OncoTree to ICDO br,OncoTree to ICDO broader,"0","0",ICDO br to OncoTree,33011
ICDO br to OncoTree,ICDO broader to OncoTree,"0","0",OncoTree to ICDO br,33012
Has AB-drug cjgt,Has antibody-drug conjugate (HemOnc),"0","0",AB-drug cjgt of,33015
AB-drug cjgt of,Antibody-drug conjugate of (HemOnc),"0","0",Has AB-drug cjgt,33016
Has AB-drug cjgt Rx,Has antibody-drug conjugate - RxNorm (HemOnc),"0","0",Rx AB-drug cjgt of,33017
Has FDA labeling,Has FDA labeling (HemOnc),"0","0",FDA labeling of,33019
FDA labeling of,FDA labeling of (HemOnc),"0","0",Has FDA labeling,33020
Has cytotoxic chemo,Has cytotoxic chemotherapy (HemOnc),"0","0",Cytotoxic chemo of,33021
Cytotoxic chemo of,Cytotoxic chemotherapy of (HemOnc),"0","0",Has cytotoxic chemo,33022
Has cytotox chemo Rx,Has cytotoxic chemotherapy - RxNorm (HemOnc),"0","0",Cytotox chemo RX of,33023
Cytotox chemo RX of,Cytotoxic chemotherapy of - RxNorm (HemOnc),"0","0",Has cytotox chemo Rx,33024
Has endocrine tx,Has endocrine therapy (HemOnc),"0","0",Endocrine tx of,33025
Endocrine tx of,Endocrine therapy of (HemOnc),"0","0",Has endocrine tx,33026
Has endocrine tx Rx,Has endocrine therapy - RxNorm (HemOnc),"0","0",Rx endocrine tx of,33027
Has immunotherapy,Has immunotherapy (HemOnc),"0","0",Immunotherapy of,33029
Immunotherapy of,Immunotherapy of (HemOnc),"0","0",Has immunotherapy,33030
Has immunotherapy Rx,Has immunotherapy - RxNorm (HemOnc),"0","0",Rx immunotherapy of,33031
Has pept-drug cjgt,Has peptide-drug conjugate (HemOnc),"0","0",Pept-drug cjgt of,33033
Pept-drug cjgt of,Peptide-drug conjugate of (HemOnc),"0","0",Has pept-drug cjgt,33034
Has pept-drg cjg Rx,Has peptide-drug conjugate - RxNorm (HemOnc),"0","0",Rx pept-drg cjg of,33035
Has radioconjugate,Has radioconjugate (HemOnc),"0","0",Radioconjugate of,33037
Radioconjugate of,Radioconjugate of (HemOnc),"0","0",Has radioconjugate,33038
Has radiocjgt Rx,Has radioconjugate - RxNorm (HemOnc),"0","0",Rx radiocjgt of,33039
Has radiotherapy,Has radiotherapy (HemOnc),"0","0",Radiotherapy of,33041
Radiotherapy of,Radiotherapy of (HemOnc),"0","0",Has radiotherapy,33042
Has radiotherapy Rx,Has radiotherapy - RxNorm (HemOnc),"0","0",Rx radiotherapy of,33043
Has targeted therapy,Has targeted therapy (HemOnc),"0","0",Targeted therapy of,33045
Targeted therapy of,Targeted therapy of (HemOnc),"0","0",Has targeted therapy,33046
Has targeted tx Rx,Has targeted therapy - RxNorm (HemOnc),"0","0",Rx targeted tx of,33047
Has support med Rx,Has supportive medication - RxNorm (HemOnc),"0","0",Rx support med of,32630
Has coating material,Has coating material (SNOMED),"0","0",Coating material of,33052
Coating material of,Coating material of (SNOMED),"0","0",Has coating material,33053
Has absorbability,Has absorbability (SNOMED),"0","0",Absorbability of,33054
Absorbability of,Absorbability of (SNOMED),"0","0",Has absorbability,33055
Process extends to,Process extends to (SNOMED),"0","0",Process extends from,33056
Process extends from,Process extends from (SNOMED),"0","0",Process extends to,33057
Has strength,Has ingredient qualitative strength (SNOMED),"0","0",Strength of,33058
Rx AB-drug cjgt of,RxNorm antibody-drug conjugate of (HemOnc),"1","1",Has AB-drug cjgt Rx,33018
Rx endocrine tx of,RxNorm endocrine therapy of (HemOnc),"1","1",Has endocrine tx Rx,33028
Rx immunotherapy of,RxNorm immunotherapy of (HemOnc),"1","1",Has immunotherapy Rx,33032
Rx pept-drg cjg of,RxNorm peptide-drug conjugate of (HemOnc),"1","1",Has pept-drg cjg Rx,33036
Rx radiocjgt of,RxNorm radioconjugate of (HemOnc),"1","1",Has radiocjgt Rx,33040
Rx radiotherapy of,RxNorm radiotherapy of (HemOnc),"1","1",Has radiotherapy Rx,33044
Rx targeted tx of,RxNorm targeted therapy of (HemOnc),"1","1",Has targeted tx Rx,33048
Strength of,Ingredient qualitative strength of (SNOMED),"0","0",Has strength,33059
Has surface texture,Has surface texture (SNOMED),"0","0",Surface texture of,33060
Surface texture of,Surface texture of (SNOMED),"0","0",Has surface texture,33061
Is sterile,Is sterile (SNOMED),"0","0",Is sterile of,33062
Is sterile of,Is sterile of (SNOMED),"0","0",Is sterile,33063
Has targ population,Has target population (SNOMED),"0","0",Targ population of,33064
Targ population of,Target population of (SNOMED),"0","0",Has targ population,33065
Has status,Has status,"0","0",Status of,33066
Status of,Status of,"0","0",Has status,33067
Has steroid tx,Has steroid therapy (HemOnc),"0","0",Steroid tx of,33073
Steroid tx of,Steroid therapy of (HemOnc),"0","0",Has steroid tx,33074
Has steroid tx Rx,Has steroid therapy - RxNorm (HemOnc),"0","0",Rx steroid tx of,33075
Rx steroid tx of,RxNorm steroid therapy of (HemOnc),"0","0",Has steroid tx Rx,33076
Is curr in adult,Is current in adult (HemOnc),"0","0",Curr adult indic for,33077
Curr adult indic for,Current adult indication for (HemOnc),"0","0",Is curr in adult,33078
Is curr in ped,Is current in pediatric (HemOnc),"0","0",Curr ped indic for,33079
Curr ped indic for,Current pediatric indication for (HemOnc),"0","0",Is curr in ped,33080
Is hist in adult,Is historical in adult (HemOnc),"0","0",Hist adult indic for,33081
Hist adult indic for,Historical adult indication for (HemOnc),"0","0",Is hist in adult,33082
Had accepted use,Had accepted use (HemOnc),"0","0",Had accepted for,33083
Had accepted for,Had accepted for (HemOnc),"0","0",Had accepted use,33084
Has investig use,Has investigational use (HemOnc),"0","0",Investig use for,33085
Investig use for,Investigational use for (HemOnc),"0","0",Has investig use,33086
Has PDC Rx,Has PDC - RxNorm (HemOnc),"0","0",Rx PDC of,33087
Rx PDC of,RxNorm PDC of (HemOnc),"0","0",Has PDC Rx,33088
Is hist in ped,Is historical in pediatric (HemOnc),"0","0",Hist ped indic for,33089
Hist ped indic for,Historical pediatric indication for (HemOnc),"0","0",Is hist in ped,33090
Process acts on,Process acts on (SNOMED),"0","0",Affected by process,33100
Affected by process,Affected by process (SNOMED),"0","0",Process acts on,33101
Before,Before (SNOMED),"0","0",After,33102
After,After (SNOMED),"0","0",Before,33103
Towards,Towards (SNOMED),"0","0",Subject of,33104
Subject of,Subject of (SNOMED),"0","0",Towards,33105
